Team_A_Name, Team_A_Status, Team_A_Carry_Name, Team_A_Carry_Hero, Team_A_Mid_Name, Team_A_Mid_Hero,Team_A_Off_Name, Team_A_Off_Hero, Team_A_Support_Name, Team_A_Support_Hero, Team_A_HardSupport_Name, Team_A_HardSupport_Hero,Team_B_Name, Team_B_Status, Team_B_Carry_Name, Team_B_Carry_Hero, Team_B_Mid_Name, Team_B_Mid_Hero, Team_B_Off_Name, Team_B_Off_Hero, Team_B_Support_Name, Team_B_Support_Hero, Team_B_HardSupport_Name, Team_B_HardSupport_Hero,Tier, Time 
YYF, loss, Agressif, Medusa, Sakata, Death Prophet, Yang, Pangolier, yoona, Earthshaker, RedPanda, Elder Titan, Dy, win, Lou, Sven, Dstones-, Queen of Pain, Maps, Dark Seer, Kaka, Tiny, Dy, Warlock, 3, 42:32
Nethercore, win, people better than me:nobody~, Lifestealer, S4D4UCLO7, Mars, empty, Shadow Fiend, Yuui-, Rubick, yatorrent, Tusk, La Passion, loss, eshkeree_enjoyer, Void Spirit, moonboyy, Lion, bozhepomogi , Windranger, Nuranu, Morphling, Bankai, Centaur Warrunner, 4, 29:21
TEIKO, win, Skadi, Rubick, 35street, Axe, vogel, Nature's Prophet, Glaidara XI, Lifestealer, Dr0nched In Sw0t, Pangolier, Dominion, loss, yvs, Undying, akkiru1, Death Prophet, salamandra, Lion, kayyo, Tiny, supamiq, Ursa, 4, 52:32
Dark Tamplars, loss, Dobimaru, Tiny, Sorrowsoul, Queen of Pain, atlasX, Death Prophet, Puppy, Phoenix, kuki, Shadow Shaman, Hellspawn, win, Hell_spawn, Naga Siren, Lipqa, Shadow Fiend, DealHaunt, Mars, Innmaiser, Slark, Umarunara, Witch Doctor, 4, 38:19
MOUZ, loss, dream`, Clinkz, Abed, Storm Spirit, zeal, Bristleback, Ekki, Windranger, Seleri, Huskar, Virtus.pro, win, V-Tune, Lina, Lorenof, Ember Spirit, Daxak, Dark Seer, Antares, Batrider, rein, Naga Siren, 2, 29:46
molodaya gvardiya, loss, LLlaKaJl, Morphling, спортик, Batrider, kae, Undying, Şţåňđøfəř, Dark Willow, skitzo, Tusk, PLATOON 2.0, win, Egn, Slark, Sk1tels, Magnus, Kamaara, Mars, Akpire, Nature's Prophet, Frosti, Windranger, 4, 42:18
Kopite, loss, Chucky, Doom, GaN-, Huskar, Dcmg, Dawnbreaker, bombi, Oracle, Carlo, Tusk, Flipster Talon, win, 23savage, Bristleback, Mikoto, Monkey King, Ws, Magnus, Jhocam, Shadow Shaman, kuku, Mirana, 2, 29:20
Wiser Warriors, win, AKID, Gyrocopter, Nightfull, Ember Spirit, EmbraceTheLight, Axe, Dust_2, Shadow Shaman, Sandy, Warlock, DARK , loss, wannacoffee, Luna, Aboba, Earthshaker, Vahee, Beastmaster, Denz, Muerta, SectumSempra, Marci, 4, 26:06
Air Defence, win, Kerrigan, Terrorblade, expected, Axe, aloxa, Windranger, tavt, Tiny, Bankai, Weaver, La Passion, loss, people better than me:nobody~, Sven, S4D4UCLO7, Bristleback, moonboyy, Tusk, eshkeree_enjoyer, Pangolier, yatorrent, Leshrac, 4, 23:20
Hellspawn, loss, Hell_spawn, Terrorblade, Lipqa, Puck, DealHaunt, Kunkka, Innmaiser, Rubick, Umarunara, Bane, Azure Dragons, win, Alduin, Anti-Mage, Flame, Ember Spirit, Bahamut, Dark Seer, Tiamat, Zeus, Durandal, Disruptor, 4, 39:18
LSG, loss, Kintaro, Troll Warlord, Scorpion, Ember Spirit, Cyrax, Magnus, Quan Chi, Treant Protector, Nightwolf, Hoodwink, NOVA , win, NP.chaveve, Pangolier, NP.BlAze, Shadow Demon, NP.reneemartin, Wraith King, NP.Black l1ght, Ogre Magi, NP.infinity, Earth Spirit, 4, 37:08
Zhou, loss, Zhou, Terrorblade, Emo, Void Spirit, old eLeVeN, Dawnbreaker, Frisk, Dark Willow, Piqiu, Phoenix, Maybe, win, Cty, Troll Warlord, Somnus, Storm Spirit, chalice, Legion Commander, ICEICE, Shadow Demon, xNova, Elder Titan, 3, 46:09
LUNAR, win, LV.Ashreaver, Mars, LV.Velm, Razor, teresaross, Warlock, Noxen, Dark Willow, ardithjordan, Meepo, Bright Crusaders, loss, VittoBossG, Wraith King, TwoFaced, Kunkka, Bandana, Beastmaster, Norbert, Nature's Prophet, Satoru, Ogre Magi, 4, 26:07
Dark Tamplars, loss, Dobimaru, Underlord, Sorrowsoul, Kunkka, atlasX, Omniknight, Puppy, Rubick, kuki, Snapfire, Peacekeepers, win, rpuwok, Templar Assassin, Charliss, Doom, K1rbi, Axe, Trick_K, Windranger, ShyChild, Disruptor, 4, 41:54
IAP, win, dejej, Kunkka, Yona, Leshrac, Neil, Timbersaw, sagiri, Tiny, Jollibee, Shadow Shaman, Castawake, loss, Krish, Muerta, Bob, Monkey King, Fbz, Death Prophet, DJ, Rubick, Castaway, Naga Siren, 2, 38:08
TEIKO, win, kuroko~, Terrorblade, vogel, Legion Commander, bozhepomogi , Muerta, Bankai, Ancient Apparition, kismet, Queen of Pain, Shinigami, loss, saruma, Bristleback, sakura, Tusk, eshkeree_enjoyer, Earthshaker, akkiru1, Drow Ranger, yatorrent, Leshrac, 4, 41:32
Flawless Goblins, loss, tinkywinky, Naga Siren, ZodiAc!, Kunkka, Kreen, Mars, Okoni, Spirit Breaker, Randing, Disruptor, Swift Knights, win, Pelfox, Medusa, billyH, Queen of Pain, Melnik, Beastmaster, Diamond, Rubick, Doobie, Ogre Magi, 4, 31:17
Trailer PB, win, 423, Meepo, sanctity-, Shadow Fiend, 11, Axe, NARMAN, Batrider, Se, Disruptor, TFG, loss, jikroy, Morphling, MamangDaya, Storm Spirit, db-, Centaur Warrunner, dalul, Shadow Shaman, Varizh, Silencer, 2, 31:01
HolyT, win, HT.Consul, Templar Assassin, HT.kirito, Void Spirit, HT.Nagama, Bristleback, HT.RAGNAR, Earthshaker, HT.NoticeMeSenpai, Snapfire, Vertex Pack, loss, vP.Helannt, Doom, vP.Shelby, Shadow Fiend, vP.RatnBone, Dark Seer, vP.zikboss, Invoker, vP.Pronto, Vengeful Spirit, 4, 36:24
Project Achilles, win, Scarycrow, Templar Assassin, Ravenn, Shadow Fiend, kitara, Mars, KiritO, Shadow Shaman, ito, Clockwerk, Moonlight Wispers, loss, Tiamani, Luna, indra, Kunkka, TeRakudA, Doom, BenZzarSi, Jakiro, Stardust, Snapfire, 4, 40:22
Influtonic eSports, win, Bambú, Wraith King, Azumi, Queen of Pain, Dae, Slardar, Mariori, Dark Willow, Lovely, Ancient Apparition, Nymeria Fem, loss, GaRaF, Medusa, Lighto, Death Prophet, AnghelaRc, Centaur Warrunner, Lulu~, Hoodwink, ChickenOnABoat, Disruptor, 4, 38:09
HellBear, win, HH.Rakinu, Shadow Fiend, HH.Harbinger, Earthshaker, HH.Bambula, Pudge, HH.Chedema, Ringmaster, HH.packout, Crystal Maiden, Wild Dragon, loss, WD.Kalanno, Medusa, WD.Nyac, Storm Spirit, WD.Javi, Brewmaster, WD.Darima, Rubick, WD.Hellen, Disruptor, 4, 37:44
Freedom Fighters, loss, Imissed, Kunkka, Freedom13, Shadow Fiend, Xolli, Mars, Akujin, Hoodwink, All_After_me, Bane, Prime Legion, win, Unirraros, Faceless Void, Flastyle, Invoker, Exmile, Centaur Warrunner, Sqeemz, Zeus, unnv, Snapfire, 4, 40:07
TOXIC, win, Tt. 1x1?, Sven, Tt.Rottery, Shadow Fiend, Tt.Wired, Omniknight, Tt.Doopled, Rubick, Tt.satasatasata, Pudge, Silent killer, loss, sK.busow, Gyrocopter, sK.onenen, Arc Warden, sK.itras, Night Stalker, sK.lotorimri, Dark Willow, sK.yacathem, Jakiro, 4, 27:07
OG.LATAM, loss, K1, Abaddon, TaiLung, Ember Spirit, ILICH-, Doom, Elmisho, Clockwerk, MoOz, Ancient Apparition, Heroic, win, Yuma, Templar Assassin, 4nalog <01, Monkey King, Wisper, Magnus, Scofield, Shadow Shaman, KJ, Mirana, 2, 46:15
Prime Legion, loss, Unirraros, Nature's Prophet, Flastyle, Storm Spirit, Exmile, Mars, Sqeemz, Ancient Apparition, unnv, Rubick, Moonlight Wispers, win, Tiamani, Weaver, indra, Void Spirit, TeRakudA, Tidehunter, BenZzarSi, Sniper, Stardust, Shadow Shaman, 4, 42:58
Night Vision, win, NV.WaifuWarrior, Nature's Prophet, NV.mintyfresh, Lina, NV.popcorny, Windranger, NV.Volcanus, Centaur Warrunner, NV.Jupitera, Disruptor, Darkness Gaming, loss, DG.ThunderRiver, Weaver, DG.hoxi, Dragon Knight, DG.Dreadlight, Legion Commander, DG.Ndolal, Phoenix, DG.dollymy, Lich, 4, 27:02
Ghost Sheep, loss, k@pib@r@, Chaos Knight, murk(4ikkk), 4ikkk, CHON, Bristleback, meow666, Queen of Pain, kismet, Weaver, Air Defence, win, Kerrigan, Slark, expected, Axe, aloxa, Rubick, moonboyy, Ancient Apparition, Dr0nched In Sw0t, Timbersaw, 4, 43:41
Project Achilles, loss, Scarycrow, Ursa, Ravenn, Batrider, kitara, Night Stalker, KiritO, Rubick, ito, Snapfire, Freedom Fighters, win, Imissed, Tiny, Freedom13, Queen of Pain, Xolli, Mars, Akujin, Hoodwink, All_After_me, Bane, 4, 33:04
OG.LATAM, win, K1, Troll Warlord, TaiLung, Kunkka, ILICH-, Batrider, Elmisho, Oracle, MoOz, Clockwerk, Sin Compromiso, loss, Parker, Gyrocopter, DarkMago♡, Sand King, Sacred, Terrorblade, Genek, Tiny, stingeR, Silencer, 2, 26:54
OG, win, Shad, Gyrocopter, Stormstormer, Dragon Knight, MikSa`, Death Prophet, daze, Shadow Demon, Kidaro, Jakiro, Secret, loss, Kiritych~, Doom, re1bl, Monkey King, Cloud, Pangolier, Thiolicor, Shadow Shaman, Puppey, Phoenix, 2, 80:23
Air Defence, loss, Kerrigan, Ursa, expected, Ogre Magi, aloxa, Lion, meow666, Void Spirit, kismet, Bristleback, Okak, win, Sonic, Marci, life enjoyer, Axe, BladeM1ght, Lina, moonboyy, Nature's Prophet, bozhepomogi , Muerta, 4, 39:22
Uzumaki, win, emo2003, Mars, zelepopa, Storm Spirit, StivN, Shadow Demon, Nuranu, Io, kayyo, Marci, Ghost Sheep, loss, k@pib@r@, Bristleback, murk(4ikkk), 4ikkk, Тиктоник, Weaver, eshkeree_enjoyer, Timbersaw, -shanks2, Beastmaster, 4, 16:53
Immortal Squad, loss, Dreadlight, Monkey King, livesey, Earth Spirit, Lightcrawler, Axe, Qimusavoz, Rubick, Shark, Tusk, Stormriders, win, HellFire, Dawnbreaker, Storm_blow, Beastmaster, NeverLove, Anti-Mage, Mimido, Grimstroke, Enjoer, Snapfire, 4, 34:13
1WIN, win, Munkushi~太阳, Morphling, squad1x, Puck, SSS, Doom, swedenstrong, Dark Willow, kasane, Enchantress, MOUZ, loss, dream`, Terrorblade, Abed, Tiny, zeal, Death Prophet, Ekki, Tusk, Seleri, Witch Doctor, 2, 38:08
Wiser Warriors, win, AKID, Shadow Fiend, Nightfull, Queen of Pain, EmbraceTheLight, Axe, Dust_2, Nyx Assassin, Sandy, Disruptor, LSG, loss, Kintaro, Morphling, Scorpion, Templar Assassin, Cyrax, Magnus, Quan Chi, Treant Protector, Nightwolf, Hoodwink, 4, 20:59
Cyber Goose, win, TA2000, Drow Ranger, CHIRA_JUNIOR, Death Prophet, Noticed, Pangolier, Prblms, Shadow Shaman, Solo, Ringmaster, NAVI, loss, Yuragi, Sven, Copy, Puck, BOOM, Bristleback, Ari, Disruptor, kaori, Oracle, 2, 33:41
TEIKO, win, CHON, Medusa, vogel, Skywrath Mage, kismet, Slark, meow666, Queen of Pain, Dr0nched In Sw0t, Vengeful Spirit, Air Defence, loss, Kerrigan, Terrorblade, expected, Undying, aloxa, Nature's Prophet, sakura, Jakiro, BladeM1ght, Marci, 4, 37:12
Foxy Gaming, win, Pudre, Phantom Lancer, babyface, Kunkka, titik, Doom, Exterminator, Rubick, ShinraTensei, Oracle, Swift Knights, loss, Pelfox, Medusa, billyH, Lina, Melnik, Death Prophet, Diamond, Batrider, Doobie, Crystal Maiden, 4, 24:45
4Pirates, win, Otaker, Clinkz, nattynarwhal_, Pangolier, mister moral, Bristleback, ariel, Shadow Shaman, perdan4ik, Tusk, Virtus.pro, loss, V-Tune, Drow Ranger, Lorenof, Ember Spirit, Daxak, Doom, Antares, Rubick, rein, Naga Siren, 2, 29:48
Okak, win, yvs, Undying, salamandra, Shadow Shaman, akkiru1, Drow Ranger, tavt, Meepo, life enjoyer, Centaur Warrunner, Nethercore, loss, people better than me:nobody~, Sven, S4D4UCLO7, Bristleback, empty, Void Spirit, Yuui-, Lion, yatorrent, Tusk, 4, 42:54
Castawake, loss, Krish, Monkey King, Bob, Sniper, Fbz, Enigma, DJ, Tiny, Castaway, Grimstroke, Execration, win, Palos, Underlord, lewis, Queen of Pain, Tino, Pangolier, Shanks, Shadow Shaman, cml, Crystal Maiden, 2, 27:32
Ghost Sheep, win, k@pib@r@, Doom, murk(4ikkk), 4ikkk, Тиктоник, Weaver, eshkeree_enjoyer, Sniper, -shanks2, Kunkka, TEIKO, loss, Kerrigan, Ancient Apparition, SandQ, Shadow Shaman, vogel, Tidehunter, kismet, Medusa, Dr0nched In Sw0t, Slardar, 4, 39:30
Hellspawn, win, Hell_spawn, Phantom Assassin, Lipqa, Magnus, DealHaunt, Centaur Warrunner, Innmaiser, Snapfire, Umarunara, Ancient Apparition, Peacekeepers, loss, rpuwok, Morphling, Charliss, Nature's Prophet, K1rbi, Dark Seer, Trick_K, Tiny, ShyChild, Rubick, 4, 35:03
NAVIJ, win, gotthejuice, Lifestealer, Niku, Puck, pma, Axe, Zayac, Batrider, Riddys, Ringmaster, YeS, loss, bottega, Tiny, Mirele, Ember Spirit, Infernal, Magnus, lyps1on3, Dark Willow, Xakoda, Undying, 2, 30:17
NAVI, loss, Yuragi, Templar Assassin, Copy, Death Prophet, BOOM, Mars, Ari, Lion, kaori, Phoenix, Runa, win, shigetsu, Lifestealer, Nicky`Cool, Tiny, alberkaaa, Dark Seer, queezy, Dark Willow, Till the end, Naga Siren, 2, 36:33
LSG, loss, Kintaro, Muerta, Scorpion, Shadow Fiend, Cyrax, Pudge, Quan Chi, Ogre Magi, Nightwolf, Ringmaster, Wiser Warriors, win, AKID, Bristleback, Nightfull, Invoker, EmbraceTheLight, Nature's Prophet, Dust_2, Hoodwink, Sandy, Disruptor, 4, 31:57
SHAOLIN, loss, JAM, Monkey King, Xarientoc, Zeus, Neutron, Windranger, heinz, Pudge, Nlainara, Crystal Maiden, Hustlers, win, Polcamid, Morphling, Frodo, Shadow Fiend, Dimidrol, Timbersaw, REQSTICK, Clockwerk, Wannakms, Shadow Shaman, 4, 23:53
Peacekeepers, loss, rpuwok, Templar Assassin, Charliss, Kunkka, K1rbi, Sand King, Trick_K, Disruptor, ShyChild, Crystal Maiden, Stormriders, win, HellFire, Omniknight, Storm_blow, Arc Warden, NeverLove, Lone Druid, Mimido, Nature's Prophet, Enjoer, Snapfire, 4, 26:13
Bright Crusaders, loss, VittoBossG, Drow Ranger, TwoFaced, Outworld Destroyer, Bandana, Doom, Norbert, Riki, Satoru, Ogre Magi, NIGHT, win, Mezzinio, Ursa, Pigeoncatcher, Shadow Fiend, Marling, Faceless Void, FrenzyMan, Oracle, GrownMan, Pudge, 4, 24:12
Nethercore, loss, people better than me:nobody~, Juggernaut, S4D4UCLO7, Dawnbreaker, empty, Ember Spirit, Yuui-, Lion, yatorrent, Ancient Apparition, Air Defence, win, expected, Jakiro, aloxa, Silencer, kayyo, Templar Assassin, Vishenka, Batrider, ghgfd, Mars, 4, 38:31
Trailer PB, win, 423, Lycan, sanctity-, Death Prophet, 11, Axe, NARMAN, Dark Willow, Se, Naga Siren, Ivory Team, loss, Gohan, Drow Ranger, Ken, Queen of Pain, Rupido, Tiny, Dric, Ringmaster, Grimz, Undying, 2, 23:46
RuleBreakers, loss, Bloodfallen, Dragon Knight, SIlver, Lion, dajonte, Tiny, turnon, Witch Doctor, KosTyan, Sand King, ThunderLab, win, exmamle, Lich, Qurore, Outworld Destroyer, Sxx, Ogre Magi, Weslike, Slardar, scream, Juggernaut, 4, 23:08
DARK , loss, wannacoffee, Razor, Aboba, Sniper, Vahee, Axe, Denz, Slark, SectumSempra, Ogre Magi, Swift Knights, win, Pelfox, Drow Ranger, billyH, Invoker, Melnik, Pudge, Diamond, Hoodwink, Doobie, Disruptor, 4, 25:41
Lighting Legends, win, Jenkis, Pudge, Rittori, Beastmaster, Kayabreaker, Tiny, Waronn, Axe, Hlillo-, Sniper, Parallel eSports, loss, Qundre, Sven, yonc, Zeus, Wheeha, Dragon Knight, MeShuffle, Dazzle, bondik, Grimstroke, 4, 22:11
Immortal Squad, win, Dreadlight, Spectre, livesey, Nature's Prophet, Lightcrawler, Axe, Qimusavoz, Pudge, Shark, Omniknight, Hellspawn, loss, Hell_spawn, Juggernaut, Lipqa, Timbersaw, DealHaunt, Doom, Innmaiser, Zeus, Umarunara, Snapfire, 4, 33:10
TFG, loss, jikroy, Terrorblade, MamangDaya, Kunkka, db-, Centaur Warrunner, dalul, Riki, Varizh, Ancient Apparition, Nemesis, win, Akashi, Tiny, Mac, Pangolier, Raven^, Doom, Jing, Snapfire, Erice, Ringmaster, 2, 51:01
Eye Gaming, loss, Disperser, Lion, moonboyy, Ancient Apparition, Vishenka, Dragon Knight, akkiru1, Sven, vogel, Magnus, Shinigami, win, Yuui-, Windranger, aloxa, Mars, Glaidara XI, Invoker, kuroko~, Medusa, yatorrent, Death Prophet, 4, 27:43
BulletProofs, loss, bOzO, Lifestealer, LoVash, Puck, Jeri, Mars, tomash, Jakiro, Xyloria, Vengeful Spirit, Crew X, win, Bedbug, Alchemist, mischievous, Rubick, jmixheal, Slardar, genstrichkh, Nyx Assassin, gTolstui, Undying, 4, 22:20
LUNAR, win, ardithjordan, Zeus, teresaross, Crystal Maiden, LV.Velm, Sven, LV.Ashreaver, Pangolier, Noxen, Shadow Shaman, Flawless Goblins, loss, tinkywinky, Phantom Assassin, ZodiAc!, Shadow Fiend, Kreen, Terrorblade, Okoni, Rubick, Randing, Ogre Magi, 4, 31:02
Moonlight Wispers, loss, Tiamani, Juggernaut, indra, Queen of Pain, TeRakudA, Doom, BenZzarSi, Shadow Shaman, Stardust, Bane, Freedom Fighters, win, Imissed, Phantom Assassin, Freedom13, Magnus, Xolli, Centaur Warrunner, Akujin, Snapfire, All_After_me, Ringmaster, 4, 38:13
Kopite, win, Chucky, Doom, GaN-, Ember Spirit, Dcmg, Dawnbreaker, bombi, Tusk, Carlo, Ancient Apparition, IAP, loss, dejej, Kunkka, Yona, Storm Spirit, Neil, Centaur Warrunner, sagiri, Muerta, Jollibee, Ringmaster, 2, 34:30
Veritas Friends, loss, Costabile, Sven, SLATEM$, Kunkka, Repugnance, Undying, n1ght, Lion, Gardick, Jakiro, Sin Compromiso, win, Parker, Lina, DarkMago♡, Sand King, Sacred, Bristleback, Genek, Nature's Prophet, stingeR, Clockwerk, 2, 26:06
Heroic, win, Yuma, Sven, 4nalog <01, Ember Spirit, Wisper, Axe, Scofield, Dark Willow, KJ, Phoenix, OG.LATAM, loss, K1, Terrorblade, TaiLung, Pangolier, ILICH-, Dark Seer, Elmisho, Oracle, MoOz, Tusk, 2, 57:34
Nymeria Fem, win, GaRaF, Sven, Lighto, Sand King, AnghelaRc, Axe, Lulu~, Windranger, ChickenOnABoat, Jakiro, Mystic Maidens, loss, Mooncita, Templar Assassin, Nanna, Pangolier, Angelus, Magnus, Ratona, Oracle, Aka, Dark Willow, 4, 33:12
TOXIC, loss, Tt. 1x1?, Lina, Tt.Rottery, Templar Assassin, Tt.Wired, Mars, Tt.Doopled, Windranger, Tt.satasatasata, Disruptor, Night Vision, win, NV.WaifuWarrior, Phantom Assassin, NV.mintyfresh, Shadow Fiend, NV.popcorny, Techies, NV.Volcanus, Beastmaster, NV.Jupitera, Oracle, 4, 30:20
HellBear, win, HH.Rakinu, Ember Spirit, HH.Harbinger, Earthshaker, HH.Bambula, Centaur Warrunner, HH.Chedema, Ringmaster, HH.packout, Crystal Maiden, Silent killer, loss, sK.busow, Troll Warlord, sK.onenen, Arc Warden, sK.itras, Bristleback, sK.lotorimri, Mirana, sK.yacathem, Rubick, 4, 30:24
Project Achilles, loss, Scarycrow, Pudge, Ravenn, Meepo, kitara, Magnus, KiritO, Vengeful Spirit, ito, Nature's Prophet, Prime Legion, win, Unirraros, Phantom Lancer, Flastyle, Sand King, Exmile, Bristleback, Sqeemz, Tusk, unnv, Crystal Maiden, 4, 34:34
Darkness Gaming, loss, DG.ThunderRiver, Slark, DG.hoxi, Tiny, DG.Dreadlight, Axe, DG.Ndolal, Clockwerk, DG.dollymy, Crystal Maiden, Vertex Pack, win, vP.Helannt, Lifestealer, vP.Shelby, Shadow Fiend, vP.RatnBone, Dragon Knight, vP.zikboss, Keeper of the Light, vP.Pronto, Abaddon, 4, 26:58
Team Den, loss, Wits, Gyrocopter, wonderk1d^^<, Shadow Fiend, Frank, Primal Beast, Demon, Tiny, Mjz, Ancient Apparition, Veritas Friends, win, Costabile, Lifestealer, SLATEM$, Pangolier, Repugnance, Beastmaster, n1ght, Shadow Shaman, Gardick, Jakiro, 2, 50:13
Estar_backs, loss, Lumière, Templar Assassin, Alone <, Mars, Ryu, Tidehunter, MonHty, Shadow Shaman, Prada, Tusk, Sin Compromiso, win, Parker, Medusa, DarkMago♡, Sand King, Sacred, Dark Seer, Genek, Tiny, stingeR, Naga Siren, 2, 20:09
Freedom Fighters, win, Imissed, Faceless Void, Freedom13, Storm Spirit, Xolli, Dawnbreaker, Akujin, Snapfire, All_After_me, Shadow Shaman, Prime Legion, loss, Unirraros, Tiny, Flastyle, Shadow Fiend, Exmile, Bristleback, Sqeemz, Windranger, unnv, Ringmaster, 4, 34:57
